from,to,distance,road_type,road_name,oneway
256039827,30037862,249.1686470790584,primary,"['Guindy Bridge', 'Anna Salai (Mount Road)']",True
256039832,2241058223,457.24985401928944,residential,,False
256039832,11160175939,280.34607433224556,residential,,False
256039853,12159256548,41.05373495667487,primary,"['Grand Southern Trunk Road Flyover', 'Kathipara Interchange Flyover']",True
256119277,11038553188,60.30919201468252,primary,Grand Southern Trunk Road,True
256124380,256039892,199.8301174263476,primary_link,Kathipara Interchange Ramp,True
256124380,256039853,147.378212282605,primary_link,Kathipara Interchange Flyover Ramp,True
257430009,312031437,83.2628793977349,residential,Arangannai Salai,False
257430009,257430010,68.40274085431837,residential,Arangannai Salai,False
257430009,6445985885,30.92773738112517,residential,3rd Main Road,False
257430009,257430053,350.673794897508,residential,3rd Main Road,False
257430010,312031440,200.78747222434424,residential,4th Main Road,False
257430010,257430009,68.40274085431837,residential,Arangannai Salai,False
257430010,257430011,53.98428734684556,residential,Arangannai Salai,False
257430011,4843378601,190.56990163973043,residential,5th Main Road,False
257430011,257430010,53.98428734684556,residential,Arangannai Salai,False
257430011,312031446,49.13388868786249,residential,Arangannai Salai,False
257430014,313774888,40.978702796636156,residential,14th Cross Street,False
257430014,335515590,53.90826527960665,residential,Indira Nagar 13th Cross Street,False
257430014,313774884,153.22179038515512,residential,Indira Nagar 13th Cross Street,False
257430016,313774900,186.35877126907175,residential,11th Cross Street,False
257430016,313774898,58.096371916720834,residential,Indira Nagar 13th Cross Street,False
257430016,312025154,244.60659371744327,residential,"['Indira Nagar 13th Cross Street', '12th Cross Street']",False
257430019,310535740,9.01770001255232,tertiary,Shastri Nagar 1st Avenue,False
257430019,257432738,138.1600027997482,secondary,Dr Muthulakshmi Salai,True
257430019,11061455135,129.40959136061903,residential,Kamaraj Avenue 2nd Street,False
257430022,6451802676,91.48406764788,secondary,Dr Muthulakshmi Salai,True
