id,latitude,longitude
269219248,13.0225447,80.2425111
269219251,13.0226518,80.241839
269219254,13.0206753,80.2411869
269219256,13.0237203,80.2397794
269219257,13.0229241,80.2400512
269219259,13.0230833,80.2395347
269219260,13.0221517,80.2389333
269219261,13.0196788,80.2385412
269219263,13.0200279,80.2380561
269219287,13.0196514,80.2457205
269219288,13.0210661,80.2420211
269219292,13.0209036,80.2452558
269219294,13.020356,80.2429187
269219295,13.0198689,80.2427389
269219299,13.0202228,80.2428493
269219300,13.0204397,80.2418024
269219372,13.0204513,80.2457081
269219374,13.0200487,80.2456652
269219375,13.0199799,80.2452478
269219377,13.0199831,80.2442551
269219379,13.0200224,80.2450083
269219380,13.020481,80.2452596
269219381,13.0213497,80.2452263
269219399,13.0195743,80.2458412
269219417,13.0184372,80.244839
269219420,13.0184324,80.2441004
269219442,13.0183734,80.243435
269219451,13.0181955,80.2427501
269219478,13.0177277,80.2418907
269219483,13.0171028,80.2425751
269219486,13.0168484,80.2431382
269219487,13.0163242,80.2440597
269219489,13.016047,80.2445825
269219499,13.0157395,80.246425
269219500,13.0152894,80.2480322
269219505,13.0179902,80.2433871
269219506,13.0177634,80.2445661
269219511,13.0174879,80.2445168
269219513,13.0174747,80.2432911
269219515,13.0173418,80.2440335
269219516,13.01879,80.2471295
269219550,13.0175542,80.2475497
269219553,13.016922,80.2471917
269219554,13.014354,80.2459987
269219555,13.0163663,80.2475729
269219556,13.0166505,80.2470391
269219558,13.0143014,80.2479261
269219560,13.014359,80.2474642
269219561,13.0143921,80.2468489
269219562,13.0141898,80.2452039
269219568,13.0140582,80.2447023
269219573,13.0155072,80.2445147
269219575,13.0148923,80.2445282
269219600,13.0155534,80.2469055
269219601,13.0171421,80.246724
269219602,13.017584,80.2458207
269219603,13.0161467,80.2461832
269219605,13.0173606,80.2462949
269219606,13.0164713,80.2458203
269219607,13.0167188,80.2454027
269219610,13.0176771,80.245869
269219611,13.018111,80.2449002
269219612,13.0173766,80.2457174
269219613,13.0177723,80.2448259
269219623,13.0170329,80.2455473
269219635,13.0181007,80.2381503
269219636,13.0185747,80.2386469
269219655,13.0189923,80.2467727
269219667,13.0181039,80.2466559
269219671,13.0165153,80.2437778
269219678,13.016058,80.2435864
269219758,13.0115724,80.2451003
269219771,13.010117,80.2478134
269219781,13.0135946,80.2479753
269219787,13.0111919,80.2478997
269219794,13.011512,80.2461224
269219803,13.0143197,80.2459261
269219806,13.0134008,80.2460108
269219824,13.0128969,80.2460584
269219826,13.0123455,80.2461073
269219848,13.0120806,80.2470979
269766793,13.0125999,80.2269708
269766796,13.0126018,80.2276171
269766801,13.013691,80.2311805
269766805,13.0144028,80.2313303
269766824,13.0150642,80.2281345
269766827,13.0129333,80.2310333
269766830,13.0135772,80.227822
269766834,13.0143671,80.227988
269766929,13.0158059,80.227861
269766946,13.0122938,80.2292042
269766956,13.0132614,80.2293969
269766973,13.0140653,80.229557
269766987,13.0147449,80.2296924
269767011,13.013537,80.2325741
269767019,13.0145339,80.2327209
269767027,13.0141959,80.2326646
269767036,13.0130945,80.2325419
269767070,13.0128245,80.2325251
269767075,13.012399,80.2324761
269767090,13.0130746,80.2310571
269767098,13.0133111,80.2311093
269767110,13.0138917,80.2326209
269767116,13.0139785,80.2312338
269767133,13.0150805,80.2315431
269767138,13.0151778,80.2310352
269767181,13.0126344,80.2309731
269767197,13.0167231,80.2280019
269767207,13.0171446,80.22721
269767212,13.0170699,80.2268203
269767231,13.0160587,80.2256714
269767236,13.0156831,80.2257738
269767276,13.0157988,80.2261587
